junction_id,incomingRoad,connectingRoad,lane_from,lane_to
13.379147_52.526176,27779077,1090247388,0,0
13.379147_52.526176,1090247388,27779077,0,0
13.376819_52.526740,514243383,1082071651,0,0
13.376819_52.526740,1082071651,514243383,0,0
13.365108_52.514482,1121492331,1121492329,0,0
13.365108_52.514482,1121492329,1121492331,0,0
13.384728_52.517926,327519012,456400035,0,0
13.384728_52.517926,456400035,327519012,0,0
13.387540_52.524747,1165383526,388702039,0,0
13.387540_52.524747,388702039,1165383526,0,0
13.377201_52.512554,1155910079,48859715,0,0
13.377201_52.512554,48859715,1155910079,0,0
13.382313_52.512976,327941679,596826976,0,0
13.382313_52.512976,596826976,327941679,0,0
13.385024_52.519641,893334269,893334270,0,0
13.385024_52.519641,893334270,893334269,0,0
13.377671_52.522338,868813912,1134740510,0,0
13.377671_52.522338,868813912,425993879,0,0
13.377671_52.522338,1134740510,868813912,0,0
13.377671_52.522338,1134740510,425993879,0,0
13.377671_52.522338,425993879,868813912,0,0
13.377671_52.522338,425993879,1134740510,0,0
13.375856_52.517041,885108460,720167983,0,0
13.375856_52.517041,720167983,885108460,0,0
13.393576_52.526418,1217926265,36689633,0,0
13.393576_52.526418,36689633,1217926265,0,0
13.392602_52.527347,1158892065,1069997450,0,0
13.392602_52.527347,1069997450,1158892065,0,0
13.378022_52.528139,1082352526,1280699623,0,0
13.378022_52.528139,1082352526,1280699627,0,0
13.378022_52.528139,1280699623,1082352526,0,0
13.378022_52.528139,1280699623,1280699627,0,0
13.378022_52.528139,1280699627,1082352526,0,0
13.378022_52.528139,1280699627,1280699623,0,0
13.375979_52.529390,441947121,28882867,0,0
13.375979_52.529390,28882867,441947121,0,0
13.389767_52.528140,606386758,606386757,0,0
13.389767_52.528140,606386757,606386758,0,0
13.383857_52.525762,301440558,262407305,0,0
13.383857_52.525762,262407305,301440558,0,0
13.372310_52.522611,4395332,624676556,0,0
13.372310_52.522611,624676556,4395332,0,0
13.373334_52.520677,1280354868,1279974619,0,0
13.373334_52.520677,1279974619,1280354868,0,0
13.379075_52.529285,224397383,461161513,0,0
13.379075_52.529285,461161513,224397383,0,0
13.368041_52.526273,1163895261,1225844166,0,0
13.368041_52.526273,1225844166,1163895261,0,0
13.394652_52.519220,330840134,463829467,0,0
13.394652_52.519220,463829467,330840134,0,0
13.390485_52.524362,1260677729,818510438,0,0
13.390485_52.524362,818510438,1260677729,0,0
13.390193_52.516278,996068961,194069449,0,0
13.390193_52.516278,194069449,996068961,0,0
13.381801_52.527002,1078998334,27628622,0,0
13.381801_52.527002,27628622,1078998334,0,0
13.385310_52.525397,52349368,1280784517,0,0
13.385310_52.525397,1280784517,52349368,0,0
13.370525_52.527060,1336491834,465382930,0,0
13.370525_52.527060,465382930,1336491834,0,0
13.386424_52.520593,335576652,440946427,0,0
13.386424_52.520593,440946427,335576652,0,0
13.388597_52.517239,1124934333,1158551334,0,0
13.388597_52.517239,1158551334,1124934333,0,0
13.391310_52.525243,1333115965,378662086,0,0
13.391310_52.525243,378662086,1333115965,0,0
13.391684_52.524377,6227658,1158776297,0,0
13.391684_52.524377,1158776297,6227658,0,0
13.381209_52.528223,504171782,102131302,0,0
13.381209_52.528223,102131302,504171782,0,0
13.369020_52.525817,37919067,692480578,0,0
13.369020_52.525817,692480578,37919067,0,0
13.373621_52.523958,1297773998,1193640353,0,0
13.373621_52.523958,1193640353,1297773998,0,0
13.393511_52.518294,410310755,666482960,0,0
13.393511_52.518294,666482960,410310755,0,0
13.378324_52.525520,327481214,1081366109,0,0
13.378324_52.525520,1081366109,327481214,0,0
13.388322_52.526212,1219532905,504171780,0,0
13.388322_52.526212,504171780,1219532905,0,0
13.384657_52.514358,1228768538,1228768549,0,0
13.384657_52.514358,1228768549,1228768538,0,0
13.380004_52.521136,1154715800,870683680,0,0
13.380004_52.521136,870683680,1154715800,0,0
13.369988_52.523321,895948232,1168756168,0,0
13.369988_52.523321,1168756168,895948232,0,0
13.386102_52.514485,1228768538,1228768541,0,0
13.386102_52.514485,1228768541,1228768538,0,0
13.383586_52.528320,24893663,59273520,0,0
13.383586_52.528320,59273520,24893663,0,0
13.386505_52.520193,274524374,274524375,0,0
13.386505_52.520193,274524375,274524374,0,0
13.392093_52.523136,942234138,942234134,0,0
13.392093_52.523136,942234134,942234138,0,0
13.385942_52.517060,1124934333,1343489568,0,0
13.385942_52.517060,1343489568,1124934333,0,0
13.386297_52.523322,1134722783,1087301096,0,0
13.386297_52.523322,1087301096,1134722783,0,0
13.395287_52.529843,131650081,1158458006,0,0
13.395287_52.529843,1158458006,131650081,0,0
13.388344_52.526414,237209664,1158892037,0,0
13.388344_52.526414,1158892037,237209664,0,0
13.379113_52.526352,1090247385,514154557,0,0
13.379113_52.526352,1090247385,1090247387,0,0
13.379113_52.526352,514154557,1090247385,0,0
13.379113_52.526352,514154557,1090247387,0,0
13.379113_52.526352,1090247387,1090247385,0,0
13.379113_52.526352,1090247387,514154557,0,0
13.368769_52.525140,269400559,269400566,0,0
13.368769_52.525140,269400566,269400559,0,0
13.376894_52.520975,868813900,273805104,0,0
13.376894_52.520975,868813900,1152697763,0,0
13.376894_52.520975,273805104,868813900,0,0
13.376894_52.520975,273805104,1152697763,0,0
13.376894_52.520975,1152697763,868813900,0,0
13.376894_52.520975,1152697763,273805104,0,0
13.389720_52.529704,1158428734,1068004871,0,0
13.389720_52.529704,1158428734,1068129611,0,0
13.389720_52.529704,1158428734,1067958326,0,0
13.389720_52.529704,1068004871,1158428734,0,0
13.389720_52.529704,1068004871,1068129611,0,0
13.389720_52.529704,1068004871,1067958326,0,0
13.389720_52.529704,1068129611,1158428734,0,0
13.389720_52.529704,1068129611,1068004871,0,0
13.389720_52.529704,1068129611,1067958326,0,0
13.389720_52.529704,1067958326,1158428734,0,0
13.389720_52.529704,1067958326,1068004871,0,0
13.389720_52.529704,1067958326,1068129611,0,0
13.377193_52.523637,576396765,576396774,0,0
13.377193_52.523637,576396774,576396765,0,0
13.374932_52.520833,465413676,1076904632,0,0
13.374932_52.520833,1076904632,465413676,0,0
13.371914_52.516740,1214085965,1214085964,0,0
13.371914_52.516740,1214085965,1214085963,0,0
13.371914_52.516740,1214085964,1214085965,0,0
13.371914_52.516740,1214085964,1214085963,0,0
13.371914_52.516740,1214085963,1214085965,0,0
13.371914_52.516740,1214085963,1214085964,0,0
13.374484_52.526691,327481204,31728204,0,0
13.374484_52.526691,31728204,327481204,0,0
13.385549_52.524554,1171475738,1232425171,0,0
13.385549_52.524554,1171475738,1083757622,0,0
13.385549_52.524554,1232425171,1171475738,0,0
13.385549_52.524554,1232425171,1083757622,0,0
13.385549_52.524554,1083757622,1171475738,0,0
13.385549_52.524554,1083757622,1232425171,0,0
13.393166_52.514927,1012772442,1228773147,0,0
13.393166_52.514927,1228773147,1012772442,0,0
13.369754_52.521845,1164241465,1348082760,0,0
13.369754_52.521845,1164241465,139593304,0,0
13.369754_52.521845,1348082760,1164241465,0,0
13.369754_52.521845,1348082760,139593304,0,0
13.369754_52.521845,139593304,1164241465,0,0
13.369754_52.521845,139593304,1348082760,0,0
13.380050_52.520857,870683680,1280382957,0,0
13.380050_52.520857,1280382957,870683680,0,0
13.369241_52.529700,1225833998,1093030564,0,0
13.369241_52.529700,1093030564,1225833998,0,0
13.375762_52.530788,1194873729,1194873726,0,0
13.375762_52.530788,1194873729,1194873727,0,0
13.375762_52.530788,1194873726,1194873729,0,0
13.375762_52.530788,1194873726,1194873727,0,0
13.375762_52.530788,1194873727,1194873729,0,0
13.375762_52.530788,1194873727,1194873726,0,0
13.387472_52.530504,1068004863,1069677811,0,0
13.387472_52.530504,1068004863,1068129630,0,0
13.387472_52.530504,1069677811,1068004863,0,0
13.387472_52.530504,1069677811,1068129630,0,0
13.387472_52.530504,1068129630,1068004863,0,0
13.387472_52.530504,1068129630,1069677811,0,0
13.368609_52.515318,117113143,24736588,0,0
13.368609_52.515318,24736588,117113143,0,0
13.368961_52.526583,386460958,465382930,0,0
13.368961_52.526583,465382930,386460958,0,0
13.388204_52.515655,104567844,1228768557,0,0
13.388204_52.515655,1228768557,104567844,0,0
13.367216_52.524699,463896163,463896161,0,0
13.367216_52.524699,463896163,463896162,0,0
13.367216_52.524699,463896161,463896163,0,0
13.367216_52.524699,463896161,463896162,0,0
13.367216_52.524699,463896162,463896163,0,0
13.367216_52.524699,463896162,463896161,0,0
13.369066_52.524855,357216778,357216765,0,0
13.369066_52.524855,357216778,357216746,0,0
13.369066_52.524855,357216765,357216778,0,0
13.369066_52.524855,357216765,357216746,0,0
13.369066_52.524855,357216746,357216778,0,0
13.369066_52.524855,357216746,357216765,0,0
13.378217_52.520974,1195885318,1196257442,0,0
13.378217_52.520974,1196257442,1195885318,0,0
13.372300_52.519329,1126616414,1126200755,0,0
13.372300_52.519329,1126200755,1126616414,0,0
13.369677_52.524495,268890364,268890361,0,0
13.369677_52.524495,268890361,268890364,0,0
13.367069_52.521230,1183033030,1183033033,0,0
13.367069_52.521230,1183033033,1183033030,0,0
13.372271_52.521025,912645861,912645862,0,0
13.372271_52.521025,912645862,912645861,0,0
13.366178_52.523929,453082174,31970791,0,0
13.366178_52.523929,453082174,1303873400,0,0
13.366178_52.523929,31970791,453082174,0,0
13.366178_52.523929,31970791,1303873400,0,0
13.366178_52.523929,1303873400,453082174,0,0
13.366178_52.523929,1303873400,31970791,0,0
13.374060_52.517882,1126200757,212107364,0,0
13.374060_52.517882,212107364,1126200757,0,0
13.393109_52.525027,1095407477,1192156001,0,0
13.393109_52.525027,1192156001,1095407477,0,0
13.384424_52.527046,504171782,138142364,0,0
13.384424_52.527046,138142364,504171782,0,0
13.371404_52.516407,916708966,120640438,0,0
13.371404_52.516407,916708966,120640439,0,0
13.371404_52.516407,120640438,916708966,0,0
13.371404_52.516407,120640438,120640439,0,0
13.371404_52.516407,120640439,916708966,0,0
13.371404_52.516407,120640439,120640438,0,0
13.388931_52.515556,1228768561,463898977,0,0
13.388931_52.515556,463898977,1228768561,0,0
13.369711_52.520921,1110258889,1110316821,0,0
13.369711_52.520921,1110316821,1110258889,0,0
13.393342_52.530494,1158431344,4597254,0,0
13.393342_52.530494,4597254,1158431344,0,0
13.381993_52.522816,256678739,760129633,0,0
13.381993_52.522816,760129633,256678739,0,0
13.380903_52.528662,131088417,520338571,0,0
13.380903_52.528662,520338571,131088417,0,0
13.382086_52.526578,615489860,176043822,0,0
13.382086_52.526578,176043822,615489860,0,0
13.384688_52.529386,1068129632,1069677809,0,0
13.384688_52.529386,1069677809,1068129632,0,0
13.393070_52.519892,1264353988,1264353986,0,0
13.393070_52.519892,1264353986,1264353988,0,0
13.370155_52.515845,335462909,1094666589,0,0
13.370155_52.515845,335462909,508779923,0,0
13.370155_52.515845,1094666589,335462909,0,0
13.370155_52.515845,1094666589,508779923,0,0
13.370155_52.515845,508779923,335462909,0,0
13.370155_52.515845,508779923,1094666589,0,0
13.365801_52.526722,1299590719,4676004,0,0
13.365801_52.526722,4676004,1299590719,0,0
13.365510_52.525187,433247828,4395577,0,0
13.365510_52.525187,4395577,433247828,0,0
13.384054_52.528001,660170645,59273520,0,0
13.384054_52.528001,59273520,660170645,0,0
13.368900_52.525570,269338550,269338571,0,0
13.368900_52.525570,269338550,269338685,0,0
13.368900_52.525570,269338571,269338550,0,0
13.368900_52.525570,269338571,269338685,0,0
13.368900_52.525570,269338685,269338550,0,0
13.368900_52.525570,269338685,269338571,0,0
13.368086_52.526318,1037784390,1163895265,0,0
13.368086_52.526318,1163895265,1037784390,0,0
13.385845_52.516563,1171464777,24913267,0,0
13.385845_52.516563,24913267,1171464777,0,0
13.369072_52.525148,269246328,357216744,0,0
13.369072_52.525148,357216744,269246328,0,0
13.368563_52.525579,269338555,269338695,0,0
13.368563_52.525579,269338555,269338658,0,0
13.368563_52.525579,269338695,269338555,0,0
13.368563_52.525579,269338695,269338658,0,0
13.368563_52.525579,269338658,269338555,0,0
13.368563_52.525579,269338658,269338695,0,0
13.384213_52.527167,102131301,59273520,0,0
13.384213_52.527167,102131301,660170641,0,0
13.384213_52.527167,59273520,102131301,0,0
13.384213_52.527167,59273520,660170641,0,0
13.384213_52.527167,660170641,102131301,0,0
13.384213_52.527167,660170641,59273520,0,0
13.395243_52.518647,803471194,4610527,0,0
13.395243_52.518647,4610527,803471194,0,0
13.376167_52.528421,1158752016,625200897,0,0
13.376167_52.528421,625200897,1158752016,0,0
13.369585_52.515587,1156122804,499860008,0,0
13.369585_52.515587,499860008,1156122804,0,0
13.379803_52.520919,4592739,1003347119,0,0
13.379803_52.520919,4592739,870683677,0,0
13.379803_52.520919,1003347119,4592739,0,0
13.379803_52.520919,1003347119,870683677,0,0
13.379803_52.520919,870683677,4592739,0,0
13.379803_52.520919,870683677,1003347119,0,0
13.381027_52.512684,47423544,47423540,0,0
13.381027_52.512684,47423540,47423544,0,0
13.389345_52.512922,1073015933,1228773825,0,0
13.389345_52.512922,1228773825,1073015933,0,0
13.369105_52.524797,430209303,357216765,0,0
13.369105_52.524797,357216765,430209303,0,0
13.368542_52.520895,1110258890,342098532,0,0
13.368542_52.520895,342098532,1110258890,0,0
13.385402_52.528123,559106788,24895143,0,0
13.385402_52.528123,24895143,559106788,0,0
13.388148_52.529320,1207883197,1068129624,0,0
13.388148_52.529320,1207883197,1068129621,0,0
13.388148_52.529320,1207883197,1068129609,0,0
13.388148_52.529320,1068129624,1207883197,0,0
13.388148_52.529320,1068129624,1068129621,0,0
13.388148_52.529320,1068129624,1068129609,0,0
13.388148_52.529320,1068129621,1207883197,0,0
13.388148_52.529320,1068129621,1068129624,0,0
13.388148_52.529320,1068129621,1068129609,0,0
13.388148_52.529320,1068129609,1207883197,0,0
13.388148_52.529320,1068129609,1068129624,0,0
13.388148_52.529320,1068129609,1068129621,0,0
13.376018_52.524394,578212551,578212560,0,0
13.376018_52.524394,578212560,578212551,0,0
13.369853_52.516173,28583352,1305202410,0,0
13.369853_52.516173,1305202410,28583352,0,0
13.383638_52.530234,388702017,1068129632,0,0
13.383638_52.530234,1068129632,388702017,0,0
13.394418_52.522712,51236794,31959086,0,0
13.394418_52.522712,51236794,51236796,0,0
13.394418_52.522712,31959086,51236794,0,0
13.394418_52.522712,31959086,51236796,0,0
13.394418_52.522712,51236796,51236794,0,0
13.394418_52.522712,51236796,31959086,0,0
13.392400_52.524366,6227658,1222915690,0,0
13.392400_52.524366,1222915690,6227658,0,0
13.392185_52.526108,1296245535,1070124287,0,0
13.392185_52.526108,1070124287,1296245535,0,0
13.388495_52.524465,940764590,1158776299,0,0
