way_id,start,end
4377063,13.366277_52.517459,13.366283_52.517521
4377063,13.366283_52.517521,13.366212_52.517645
4377063,13.366212_52.517645,13.365831_52.518334
4377063,13.365831_52.518334,13.365774_52.518389
4377063,13.365774_52.518389,13.365639_52.518407
4377063,13.365639_52.518407,13.364730_52.518398
4381079,14.112124_51.215197,14.112423_51.215366
4381079,14.112423_51.215366,14.111918_51.216258
4381079,14.071745_51.195217,14.071876_51.194967
4381079,12.634916_53.826300,12.635215_53.826469
4381079,12.635215_53.826469,12.653567_53.836841
4381079,12.653567_53.836841,12.708404_53.865904
4381079,12.708404_53.865904,12.745271_53.882963
4381082,14.788275_52.027062,14.868039_52.257466
4381082,14.868039_52.257466,14.870766_52.502260
4381082,11.872396_52.531707,11.870910_52.531721
4381082,11.870910_52.531721,11.870924_52.533205
4381082,11.870924_52.533205,11.870956_52.536081
4381082,11.870956_52.536081,11.870961_52.536543
4381082,11.953352_53.008496,11.953385_53.008592
4381082,11.953385_53.008592,11.954271_53.008285
4383235,12.186850_51.616912,12.186603_51.617233
4383235,12.186603_51.617233,12.192086_51.610071
4383235,12.192086_51.610071,12.188864_51.614288
4383235,14.566428_53.443570,14.566549_53.443663
4383235,14.566549_53.443663,14.567456_53.442356
4383235,14.567456_53.442356,14.568484_53.441142
4383235,14.568484_53.441142,14.568499_53.441123
4383235,14.568499_53.441123,14.568377_53.441030
4383266,13.885805_51.120557,13.885723_51.120527
4383266,13.885723_51.120527,13.884153_51.119960
4383266,13.884153_51.119960,13.883548_51.119741
4383266,13.883548_51.119741,13.881972_51.119173
4383266,13.881972_51.119173,13.880610_51.118684
4383280,14.316880_53.700413,14.316616_53.700625
4383280,14.316616_53.700625,14.315625_53.699386
4383280,14.342938_53.676757,14.343238_53.677114
4383280,12.442687_51.357893,12.431409_51.366917
4383280,12.431409_51.366917,12.417449_51.378523
4383280,12.417449_51.378523,12.390140_51.401474
4383280,12.390140_51.401474,12.366846_51.422785
4383283,13.377169_52.528141,13.377241_52.528158
4383283,13.377241_52.528158,13.377384_52.528172
4383283,13.377384_52.528172,13.377673_52.528192
4383283,13.377673_52.528192,13.378012_52.528215
4383283,13.378012_52.528215,13.378111_52.528221
4383283,13.378111_52.528221,13.378223_52.528228
4383283,13.378223_52.528228,13.378344_52.528236
4383283,13.378344_52.528236,13.378535_52.528249
4383283,13.378535_52.528249,13.378556_52.528250
4383283,13.378556_52.528250,13.378680_52.528258
4389552,11.873833_52.662536,11.872385_52.626992
4389552,11.869160_52.547855,11.867836_52.515371
4389552,11.867836_52.515371,11.869466_52.515384
4389552,12.013283_53.168314,12.011727_53.169049
4389552,12.011727_53.169049,12.001412_53.147233
4389552,12.001412_53.147233,11.929961_52.982650
4389552,11.929961_52.982650,11.881773_52.749017
4389552,14.867731_52.540454,14.869267_52.356200
4389552,14.869267_52.356200,14.826032_52.176425
4389553,14.861629_52.391769,14.862527_52.401732
4389553,14.862527_52.401732,14.863320_52.412042
4389553,11.872942_52.641462,11.872110_52.641526
4389553,11.872110_52.641526,11.872144_52.641980
4389553,11.873744_52.661107,11.873755_52.661226
4389553,11.873755_52.661226,11.874569_52.661152
4389554,12.624196_53.830674,12.447053_53.729561
4389554,12.447053_53.729561,12.195928_53.476704
4389554,12.195928_53.476704,12.046183_53.247831
4389554,12.046183_53.247831,11.949142_53.029643
4389554,11.949142_53.029643,11.899788_52.845454
4389554,11.899788_52.845454,11.878288_52.716152
4389554,11.878288_52.716152,11.872955_52.655263
4389554,14.841895_52.255376,14.842701_52.255227
4389554,14.842701_52.255227,14.842417_52.253693
4389557,14.790612_53.001170,14.789919_53.000939
4389557,14.863991_52.442703,14.864582_52.442670
4389557,11.945028_52.051091,11.889030_52.218824
4389557,11.889030_52.218824,11.873373_52.397067
4389557,11.873373_52.397067,11.863725_52.510637
4389557,11.863725_52.510637,11.871870_52.637666
4389557,11.871870_52.637666,11.873193_52.653271
4389558,13.370299_52.527837,13.370198_52.527986
4389558,13.370198_52.527986,13.369986_52.528295
4389558,13.369986_52.528295,13.369776_52.528609
4389558,13.369776_52.528609,13.369737_52.528667
4389558,13.369737_52.528667,13.369700_52.528723
4389558,13.369700_52.528723,13.369690_52.528737
4389558,13.369690_52.528737,13.369675_52.528760
4389558,13.369675_52.528760,13.369599_52.528869
4389561,15.843389_54.226033,15.843321_54.226133
4389561,13.369599_52.528869,13.369531_52.528969
4389561,10.895809_50.831706,10.895741_50.831805
4391550,13.370800_52.511379,13.370577_52.511453
4391550,13.370577_52.511453,13.369062_52.511953
4391550,13.369062_52.511953,13.368930_52.512000
4391550,13.368930_52.512000,13.365725_52.513048
4391550,13.365725_52.513048,13.364682_52.513392
4391550,13.364682_52.513392,13.363734_52.513702
4391550,13.363734_52.513702,13.360585_52.514741
4391550,13.360585_52.514741,13.360370_52.514811
4391550,13.360370_52.514811,13.359885_52.514974
4391550,13.359885_52.514974,13.359839_52.514992
4391593,13.367068_52.517422,13.367086_52.517481
4391593,13.367086_52.517481,13.367137_52.517582
4391593,13.367137_52.517582,13.367343_52.517930
4391593,13.367343_52.517930,13.367958_52.518955
4391593,13.367958_52.518955,13.368156_52.519280
4391596,13.370864_52.519570,13.370704_52.519570
4391596,13.370704_52.519570,13.370599_52.519570
4391597,13.366667_52.519402,13.368168_52.519401
4391597,13.368168_52.519401,13.369401_52.519402
4391597,13.369401_52.519402,13.370530_52.519401
4391597,13.370530_52.519401,13.370584_52.519402
4395253,11.958581_49.875794,11.959998_49.878462
4395253,10.798779_50.979733,10.797500_50.978963
4395253,13.365814_52.525265,13.365955_52.525190
4395253,13.365955_52.525190,13.365972_52.525168
4395253,13.365972_52.525168,13.365984_52.525152
4395253,13.365984_52.525152,13.366018_52.525106
4395253,13.366018_52.525106,13.366058_52.525041
4395253,13.366058_52.525041,13.366099_52.524951
4395253,14.773188_55.174661,15.365449_54.860048
4395253,15.365449_54.860048,15.849184_54.214043
4395253,15.849184_54.214043,16.019080_53.938068
4395253,16.019080_53.938068,16.096782_53.767275
4395332,13.369508_52.521795,13.369708_52.521974
