id,lon,lat
13.379147_52.526176,13.3791466,52.526176
13.376819_52.526740,13.3768193,52.5267396
13.365108_52.514482,13.3651076,52.5144815
13.384728_52.517926,13.3847279,52.5179257
13.387540_52.524747,13.3875403,52.5247474
13.377201_52.512554,13.377201,52.5125543
13.382313_52.512976,13.382313,52.5129755
13.385024_52.519641,13.3850243,52.5196408
13.377671_52.522338,13.3776705,52.522338
13.375856_52.517041,13.3758558,52.5170408
13.393576_52.526418,13.3935755,52.526418
13.392602_52.527347,13.3926018,52.5273466
13.378022_52.528139,13.3780217,52.5281391
13.375979_52.529390,13.3759795,52.5293905
13.389767_52.528140,13.3897667,52.5281405
13.383857_52.525762,13.3838569,52.5257617
13.372310_52.522611,13.3723104,52.5226111
13.373334_52.520677,13.373334,52.5206769
13.379075_52.529285,13.3790751,52.529285
13.368041_52.526273,13.368041,52.5262731
13.394652_52.519220,13.394652,52.5192202
13.390485_52.524362,13.3904846,52.524362
13.390193_52.516278,13.3901931,52.5162777
13.381801_52.527002,13.3818009,52.5270023
13.385310_52.525397,13.3853098,52.5253967
13.370525_52.527060,13.3705247,52.5270599
13.386424_52.520593,13.386424,52.5205927
13.388597_52.517239,13.3885972,52.5172389
13.391310_52.525243,13.3913101,52.5252434
13.391684_52.524377,13.3916836,52.5243773
13.381209_52.528223,13.3812092,52.5282233
13.369020_52.525817,13.36902,52.5258173
13.373621_52.523958,13.3736207,52.5239576
13.393511_52.518294,13.3935106,52.5182942
13.378324_52.525520,13.3783237,52.5255201
13.388322_52.526212,13.3883225,52.5262118
13.384657_52.514358,13.3846573,52.5143576
13.380004_52.521136,13.3800038,52.5211357
13.369988_52.523321,13.3699884,52.5233206
13.386102_52.514485,13.3861024,52.5144847
13.383586_52.528320,13.3835864,52.5283195
13.386505_52.520193,13.3865046,52.5201926
13.392093_52.523136,13.3920934,52.5231355
13.385942_52.517060,13.3859419,52.5170603
13.386297_52.523322,13.3862974,52.5233215
13.395287_52.529843,13.395287,52.5298425
13.388344_52.526414,13.388344,52.5264137
13.379113_52.526352,13.3791126,52.526352
13.368769_52.525140,13.3687689,52.5251399
13.376894_52.520975,13.3768942,52.5209746
13.389720_52.529704,13.38972,52.5297043
13.377193_52.523637,13.3771933,52.5236374
13.374932_52.520833,13.3749325,52.5208329
13.371914_52.516740,13.3719141,52.5167403
13.374484_52.526691,13.3744841,52.5266908
13.385549_52.524554,13.3855489,52.524554
13.393166_52.514927,13.3931662,52.5149266
13.369754_52.521845,13.3697537,52.5218446
13.380050_52.520857,13.3800505,52.5208568
13.369241_52.529700,13.3692411,52.5296996
13.375762_52.530788,13.3757621,52.5307879
13.387472_52.530504,13.387472,52.5305039
13.368609_52.515318,13.3686087,52.515318
13.368961_52.526583,13.3689613,52.5265833
13.388204_52.515655,13.3882036,52.5156551
13.367216_52.524699,13.367216,52.5246992
13.369066_52.524855,13.3690659,52.5248549
13.378217_52.520974,13.3782171,52.5209744
13.372300_52.519329,13.3722995,52.5193294
13.369677_52.524495,13.369677,52.524495
13.367069_52.521230,13.3670689,52.5212299
13.372271_52.521025,13.3722708,52.5210254
13.366178_52.523929,13.3661782,52.5239289
13.374060_52.517882,13.3740597,52.5178825
13.393109_52.525027,13.393109,52.5250268
13.384424_52.527046,13.3844239,52.5270462
13.371404_52.516407,13.3714041,52.5164066
13.388931_52.515556,13.3889315,52.5155562
13.369711_52.520921,13.3697115,52.520921
13.393342_52.530494,13.3933418,52.530494
13.381993_52.522816,13.3819933,52.5228158
13.380903_52.528662,13.3809033,52.5286621
13.382086_52.526578,13.3820858,52.5265785
13.384688_52.529386,13.3846883,52.5293856
13.393070_52.519892,13.3930698,52.5198921
13.370155_52.515845,13.370155,52.5158449
13.365801_52.526722,13.3658015,52.5267224
13.365510_52.525187,13.3655103,52.5251874
13.384054_52.528001,13.3840542,52.5280013
13.368900_52.525570,13.3688997,52.5255698
13.368086_52.526318,13.3680857,52.5263183
13.385845_52.516563,13.3858446,52.5165631
13.369072_52.525148,13.3690721,52.525148
13.368563_52.525579,13.3685631,52.5255794
13.384213_52.527167,13.3842132,52.5271671
13.395243_52.518647,13.3952431,52.5186469
13.376167_52.528421,13.3761669,52.5284214
13.369585_52.515587,13.3695847,52.5155867
13.379803_52.520919,13.3798029,52.5209195
13.381027_52.512684,13.3810271,52.5126839
13.389345_52.512922,13.3893452,52.5129221
13.369105_52.524797,13.3691055,52.5247969
13.368542_52.520895,13.3685424,52.5208952
13.385402_52.528123,13.3854015,52.5281227
13.388148_52.529320,13.3881483,52.5293203
14.857899_52.777127,14.857899126259637,52.77712731852834
13.376018_52.524394,13.3760184,52.5243938
13.369853_52.516173,13.3698526,52.5161732
13.383638_52.530234,13.3836377,52.5302335
13.394418_52.522712,13.3944178,52.5227117
13.392400_52.524366,13.3923996,52.5243664
