from_id,to_id,way_id,highway_type,way_name,length
13.2259_52.528,13.2256_52.5282,937071749,service,,0.000361
13.2256_52.5282,13.2255_52.5282,937071749,service,,0.000100
13.2255_52.5282,13.2254_52.5283,937071749,service,,0.000141
13.2254_52.5283,13.2253_52.5283,937071749,service,,0.000100
13.2253_52.5283,13.2252_52.5283,937071749,service,,0.000100
13.2252_52.5283,13.225_52.5284,937071749,service,,0.000224
13.225_52.5284,13.2248_52.5284,937071749,service,,0.000200
13.2248_52.5284,13.2247_52.5284,937071749,service,,0.000100
13.2247_52.5284,13.2245_52.5284,937071749,service,,0.000200
13.2245_52.5284,13.2243_52.5284,937071749,service,,0.000200
13.2243_52.5284,13.2242_52.5284,937071749,service,,0.000100
13.2242_52.5284,13.2242_52.5284,937071749,service,,0.000000
13.2242_52.5284,13.2241_52.5284,937071749,service,,0.000100
13.2241_52.5284,13.2238_52.5276,937071749,service,,0.000854
13.2238_52.5276,13.2234_52.5277,937071749,service,,0.000412
13.2426_52.528,13.2426_52.5281,723382602,service,,0.000100
13.2426_52.528,13.243_52.528,5095441,tertiary,Wiesendamm,0.000400
13.2426_52.5281,13.2426_52.5281,723382602,service,,0.000000
13.2426_52.5281,13.2427_52.5281,723382602,service,,0.000100
13.2427_52.5281,13.2427_52.5281,723382602,service,,0.000000
13.2427_52.5281,13.2427_52.5282,723382602,service,,0.000100
13.2427_52.5282,13.2427_52.5282,723382602,service,,0.000000
13.2427_52.5282,13.2424_52.5283,723382602,service,,0.000316
13.2424_52.5283,13.2421_52.5285,723382602,service,,0.000361
13.2424_52.5283,13.2424_52.5283,723382603,service,,0.000000
13.2421_52.5285,13.2418_52.5286,723382602,service,,0.000316
13.2421_52.5285,13.242_52.5285,723382603,service,,0.000100
13.2314_52.5285,13.2319_52.5284,971668420,service,,0.000510
13.2319_52.5284,13.2321_52.5284,971668420,service,,0.000200
13.2321_52.5284,13.2325_52.5284,971668420,service,,0.000400
13.2325_52.5284,13.2326_52.5285,971668420,service,,0.000141
13.2326_52.5285,13.2326_52.5285,971668420,service,,0.000000
13.2326_52.5285,13.2328_52.5285,971668420,service,,0.000200
13.2162_52.5269,13.2165_52.5269,24615396,secondary,Charlottenburger Chaussee,0.000300
13.2165_52.5269,13.2168_52.527,24615396,secondary,Charlottenburger Chaussee,0.000316
13.2168_52.527,13.217_52.527,24615396,secondary,Charlottenburger Chaussee,0.000200
